CODIGO,MODELO,MAE%,SESGO%,SCORE%,2024-12-01,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01,2025-11-01
PT002,mstl,19.88%,12.42%,32.30%,40026,36950,27269,24630,34537,42821,42664,47718,48789,35543,50015,64430
PT003,mstl,46.68%,-3.79%,50.47%,14575,11828,4418,3486,8575,10644,6835,8230,11856,8010,10417,10093
PT004,rl_lineal,25.34%,-0.03%,25.37%,15753,15871,15989,16108,16226,16345,16463,16581,16700,16818,16936,17055
PT005,pms,17.30%,0.10%,17.40%,21236,21236,21236,21236,21236,21236,21236,21236,21236,21236,21236,21236
PT006,pms,23.07%,5.55%,28.62%,72121,72121,72121,72121,72121,72121,72121,72121,72121,72121,72121,72121
PT007,pms,22.69%,-0.28%,22.97%,24843,24843,24843,24843,24843,24843,24843,24843,24843,24843,24843,24843
PT020,mstl,18.08%,12.71%,30.79%,29489,29242,30481,27794,33703,32211,32981,36915,33378,33711,41320,40762
PT024,pms,29.59%,3.40%,32.99%,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
PT025,pms,34.92%,0.31%,35.22%,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336,1336
PT026,pms,21.20%,1.62%,22.82%,23479,23479,23479,23479,23479,23479,23479,23479,23479,23479,23479,23479
PT031,pms,20.13%,0.71%,20.83%,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739
PT033,se,17.32%,-0.10%,17.42%,43342,43342,43342,43342,43342,43342,43342,43342,43342,43342,43342,43342
PT034,mstl,19.09%,-2.62%,21.70%,27409,25220,19870,16676,21520,25726,24420,28046,24145,23864,28288,28971
PT035,rl_lineal,19.14%,2.04%,21.19%,24417,24884,25351,25817,26284,26751,27217,27684,28151,28617,29084,29550
PT042,pms,45.29%,24.84%,70.13%,11567,11567,11567,11567,11567,11567,11567,11567,11567,11567,11567,11567
PT043,pms,73.24%,22.14%,95.38%,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
PT045,pms,44.14%,0.77%,44.90%,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845,4845
PT046,pms,34.10%,4.22%,38.32%,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928,4928
PT047,pms,33.11%,15.97%,49.09%,19766,19766,19766,19766,19766,19766,19766,19766,19766,19766,19766,19766
PT048,se,58.18%,15.35%,73.53%,8323,8323,8323,8323,8323,8323,8323,8323,8323,8323,8323,8323
PT049,pms,34.11%,10.23%,44.34%,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168,2168
PT050,pms,65.56%,7.91%,73.47%,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867,4867
PT052,mstl,48.95%,48.95%,97.91%,13480,9183,10130,11530,15499,8855,12630,13709,12370,15729,16881,18058
PT053,pms,35.59%,30.12%,65.72%,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252,5252
PT054,pms,47.48%,28.66%,76.14%,6768,6768,6768,6768,6768,6768,6768,6768,6768,6768,6768,6768
PT055,pms,51.89%,46.09%,97.98%,13213,13213,13213,13213,13213,13213,13213,13213,13213,13213,13213,13213
PT056,rl_lineal,17.43%,16.39%,33.82%,111400,114229,117058,119888,122717,125546,128375,131204,134033,136862,139691,142520
PT057,pms,44.75%,40.93%,85.68%,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701
PT064,pms,33.77%,12.01%,45.78%,21524,21524,21524,21524,21524,21524,21524,21524,21524,21524,21524,21524
PT065,pms,21.88%,1.35%,23.23%,28982,28982,28982,28982,28982,28982,28982,28982,28982,28982,28982,28982
PT066,rl_estacional,26.15%,5.16%,31.31%,16192,17770,22585,25947,48034,28690,39601,33754,34176,59582,71728,29108
PT070,rl_estacional,15.07%,15.07%,30.14%,27399,0,0,0,0,0,0,0,166692,182924,346810,518741
PT071,se,61.41%,27.97%,89.38%,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355
PT072,pms,47.34%,41.54%,88.88%,8933,8933,8933,8933,8933,8933,8933,8933,8933,8933,8933,8933
PT073,pms,86.12%,16.80%,102.92%,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440
PT074,pms,67.78%,9.77%,77.55%,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161,5161
PT075,rl_lineal,24.04%,4.12%,28.16%,44074,44759,45444,46130,46815,47501,48186,48872,49557,50243,50928,51613
PT076,rl_lineal,24.01%,-4.69%,28.70%,25575,26594,27612,28631,29650,30669,31688,32707,33725,34744,35763,36782
PT078,rl_lineal,21.23%,-21.23%,42.46%,4865,3904,2943,1982,1022,61,-900,-1861,-2822,-3783,-4744,-5705
PT079,pms,17.68%,13.65%,31.33%,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275,18275
PT080,rl_lineal,36.69%,36.69%,73.38%,69623,75145,80668,86190,91713,97235,102758,108280,113803,119325,124848,130370
PT081,pms,29.06%,-7.74%,36.80%,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425,3425
PT082,pms,9.34%,9.34%,18.68%,27392,27392,27392,27392,27392,27392,27392,27392,27392,27392,27392,27392
